koUniv,continent,country,city,forUniv_eng,forUniv_kor,TO,period,GPA,lang
숭실대,유럽,프랑스,,L'école supérieure des professions immobilières,ESPI,-,-,3.5,"A-4, D-3"
숭실대,유럽,프랑스,,University of Paris 13,파리 13대학 ,-,-,3.5,A-2
숭실대,유럽,프랑스,,Higher Institute Management And Communication,ISMAC,-,-,3.5,A-3
숭실대,유럽,핀란드,,Helsinki Metropolia University of Applied Sciences,헬싱키메트로폴리아대,-,-,3,A-4
숭실대,유럽,핀란드,,Oulu University of Applied Sciences,오울루대,-,-,3,A-4
숭실대,유럽,핀란드,,Savonia University of Applied Sciences,사보니아대,-,-,3.5,A-2
숭실대,유럽,핀란드,,Tampere University of Applied Sciences ,탐페레대,-,-,3,A-2
숭실대,유럽,헝가리,,Budapest Metropolitan University,부다페스트메트로폴리탄대,-,-,3,A-3
숭실대,유럽,헝가리,,Károli Gáspár University of the Reformed Church in Hungary,KRE,-,-,3,A-3
숭실대,남미,과테말라,,Rafael Landivar University,라파엘란디바르대,-,-,3,"A-3, DELE B1"
숭실대,남미,도미니카공화국,,Santo Domingo Institute of Technology,INTEC,-,-,3,"A-3, DELE B1"
숭실대,남미,도미니카공화국,,Ibero-Americana University,이베로아메리카나대,-,-,3.5,"A-3, DELE B1"
숭실대,남미,멕시코,,Regiomontana University,레지오몬따나대,-,-,3.5,"A-3, DELE B1"
숭실대,남미,멕시코,,University of Monterrey,몬테레이대,-,-,3.5,"A-3, DELE B1"
숭실대,남미,멕시코,,Sonora Institute of Technology,소노라공대,-,-,3,"A-3, DELE B1"
숭실대,남미,멕시코,,"Universidad La Salle, Laguna","라사예대, 라구나",-,-,3,"A-3, DELE B1"
숭실대,남미,멕시코,,The Business School of Mexico,멕시코 경영대학,-,-,3.5,A-3
숭실대,남미,브라질,,Pontifical Catholic University of Minas Gerais,PUCMINAS,-,-,3,"A-3,
Celpe-bras
Intermediario
Superior"
숭실대,남미,브라질,,São Paulo State University,UNESP,-,-,3,"A-3,
Celpe-bras
Intermediario
Superior"
숭실대,남미,브라질,,University of Vale Do Itajai,바레도이타자야대,-,-,3,"A-3,
Celpe-bras
Intermediario
Superior"
숭실대,남미,브라질,,Federal University of Viçosa,비코사연방대,-,-,3,"A-3,
Celpe-bras
Intermediario
Superior"
숭실대,남미,브라질,,University Center - Senac,세낙대,-,-,3,"A-3,
Celpe-bras
Intermediario
Superior"
숭실대,남미,브라질,,University of Fortaleza,포르탈레자대,-,-,3.5,"A-3,
Celpe-bras
Intermediario
Superior"
숭실대,남미,브라질,,Positivo University,포지티보대,-,-,3.5,"Celpe-bras
Intermediario
Superior"
숭실대,남미,아르헨티나,,National University of Cuyo,꾸요국립대,-,-,3.5,"A-3, DELE B1"
숭실대,남미,아르헨티나,,Universidad de Mendoza,멘도자대,-,-,3,"A-3, DELE B1"
숭실대,남미,에콰도르,,"Espiritu Santo University, Guayaquil",UEES,-,-,3,"A-3, DELE B1"
숭실대,남미,에콰도르,,Universidad ECOTEC,에코텍대,-,-,3.5,"A-3, DELE B1"
숭실대,남미,우루과이,,Universidad Tecnológica,UTEC,-,-,3,A-3
숭실대,남미,칠레,,Andrés Bello National University ,안드레스벨로대,-,-,3,"A-3, DELE B1"
숭실대,남미,칠레,,University Finis Terrae,피니스테래대,-,-,3,DELE B2
숭실대,남미,콜롬비아,,The University of La Sabana ,사바나대,-,-,3,"A-3, DELE B1"
숭실대,남미,페루,,St. Ignacio de Loyola University,USIL,-,-,3,"A-3, DELE B1"
숭실대,남미,페루,,Peruvian University of Applied Sciences,페루 UPC,-,-,3.5,A-3
